"Executed Date","BOROUGH","count"
"11/29/2018","STATEN ISLAND","7"
"07/25/2018","BRONX","17"
"04/25/2025","STATEN ISLAND","2"
"05/18/2023","STATEN ISLAND","3"
"10/25/2023","BROOKLYN","25"
"07/28/2017","BROOKLYN","15"
"03/19/2024","BROOKLYN","12"
"10/24/2017","MANHATTAN","20"
"05/31/2022","BRONX","5"
"03/30/2018","BRONX","8"
"02/14/2020","BRONX","13"
"11/09/2017","STATEN ISLAND","3"
"10/04/2018","MANHATTAN","10"
"03/06/2023","STATEN ISLAND","3"
"01/30/2023","BROOKLYN","11"
"08/08/2018","MANHATTAN","5"
"01/16/2020","BRONX","25"
"06/10/2025","MANHATTAN","22"
"12/15/2023","MANHATTAN","8"
"09/26/2017","BRONX","33"
"06/04/2018","QUEENS","29"
"02/28/2024","QUEENS","13"
"09/20/2019","QUEENS","12"
"02/16/2018","BROOKLYN","28"
"02/24/2020","BROOKLYN","31"
"08/13/2018","BRONX","39"
"07/07/2022","MANHATTAN","2"
"11/02/2023","STATEN ISLAND","4"
"08/05/2021","QUEENS","3"
"07/07/2023","MANHATTAN","23"
"07/03/2019","STATEN ISLAND","6"
"01/05/2017","STATEN ISLAND","5"
"02/28/2019","MANHATTAN","16"
"01/02/2025","BROOKLYN","5"
"02/14/2018","BRONX","39"
"08/15/2023","QUEENS","8"
"07/18/2022","BRONX","1"
"08/12/2022","STATEN ISLAND","3"
"10/17/2017","QUEENS","12"
"09/17/2025","STATEN ISLAND","2"
"02/02/2022","MANHATTAN","3"
"02/25/2019","QUEENS","21"
"01/27/2025","BRONX","16"
"02/15/2022","BRONX","3"
"10/31/2023","MANHATTAN","11"
"02/07/2022","BROOKLYN","8"
"09/12/2025","BRONX","18"
"11/04/2019","QUEENS","18"
"06/11/2025","BROOKLYN","18"
"08/28/2018","BROOKLYN","25"
"05/09/2018","MANHATTAN","7"
"11/16/2018","QUEENS","10"
"08/15/2018","MANHATTAN","2"
"02/27/2024","STATEN ISLAND","2"
"07/12/2024","BROOKLYN","13"
"02/06/2019","BROOKLYN","25"
"02/24/2023","QUEENS","2"
"03/15/2022","BROOKLYN","5"
"04/25/2019","MANHATTAN","13"
"06/13/2017","BROOKLYN","28"
"09/07/2022","STATEN ISLAND","1"
"10/16/2023","BROOKLYN","26"
"12/22/2022","BRONX","2"
"01/18/2023","QUEENS","2"
"04/04/2025","QUEENS","16"
"07/23/2019","MANHATTAN","16"
"09/22/2025","QUEENS","33"
"01/22/2019","QUEENS","24"
"03/10/2023","STATEN ISLAND","4"
"05/17/2024","QUEENS","16"
"02/15/2018","BROOKLYN","14"
"01/12/2023","QUEENS","10"
"06/17/2022","BRONX","6"
"01/03/2017","MANHATTAN","28"
"01/24/2019","BROOKLYN","8"
"04/17/2024","BRONX","20"
"08/17/2017","STATEN ISLAND","8"
"06/26/2019","MANHATTAN","6"
"08/09/2023","MANHATTAN","4"
"09/03/2025","QUEENS","32"
"02/20/2024","BRONX","14"
"03/02/2023","BROOKLYN","13"
"11/28/2023","MANHATTAN","30"
"10/08/2019","QUEENS","5"
"07/10/2024","QUEENS","32"
"04/19/2019","BROOKLYN","20"
"01/08/2020","STATEN ISLAND","3"
"06/23/2017","MANHATTAN","4"
"04/17/2019","MANHATTAN","9"
"02/27/2020","BRONX","28"
"04/11/2023","STATEN ISLAND","1"
"03/09/2018","STATEN ISLAND","5"
"06/09/2021","BROOKLYN","2"
"06/16/2025","QUEENS","1"
"02/22/2022","QUEENS","1"
"12/05/2018","BRONX","27"
"11/07/2018","QUEENS","13"
"02/22/2024","QUEENS","6"
"06/11/2024","BRONX","16"
"12/14/2017","STATEN ISLAND","5"
