"CMPLNT_FR_DT","BORO_NM","count"
"10/11/2014","MANHATTAN","317"
"08/25/2016","QUEENS","277"
"08/04/2009","QUEENS","281"
"10/21/2011","BRONX","351"
"10/06/2024","QUEENS","319"
"01/29/2021","MANHATTAN","229"
"04/25/2020","QUEENS","223"
"04/29/2006","STATEN ISLAND","84"
"12/17/2010","MANHATTAN","379"
"04/03/2018","QUEENS","236"
"11/25/2010","STATEN ISLAND","50"
"07/21/2011","BRONX","316"
"05/16/2012","BROOKLYN","453"
"09/21/2006","BROOKLYN","472"
"10/29/2012","STATEN ISLAND","76"
"11/25/2017","QUEENS","239"
"10/25/2008","BRONX","302"
"12/27/2021","STATEN ISLAND","48"
"08/27/2015","MANHATTAN","326"
"07/15/2019","MANHATTAN","350"
"10/29/2009","BRONX","317"
"01/17/2019","BRONX","232"
"05/23/2008","BRONX","369"
"08/13/2005","BRONX","1"
"01/17/2022","QUEENS","291"
"07/30/2005","BROOKLYN","1"
"07/18/2021","(null)","1"
"04/14/2015","MANHATTAN","373"
"04/18/2012","BRONX","350"
"08/01/2017","QUEENS","328"
"12/06/2019","STATEN ISLAND","57"
"04/14/2018","QUEENS","261"
"03/30/2006","BRONX","272"
"08/25/2015","STATEN ISLAND","62"
"10/05/2023","MANHATTAN","391"
"03/29/2007","BRONX","316"
"03/06/2004","BROOKLYN","1"
"02/01/1994","BROOKLYN","1"
"03/03/2005","QUEENS","3"
"12/21/2020","BRONX","218"
"07/02/2007","QUEENS","259"
"12/28/2002","BROOKLYN","2"
"10/22/2012","BRONX","290"
"07/25/2009","BRONX","317"
"04/24/2017","MANHATTAN","315"
"10/26/2008","BROOKLYN","352"
"06/09/2017","QUEENS","260"
"06/16/2012","MANHATTAN","387"
"09/20/2017","BROOKLYN","425"
"05/24/2018","QUEENS","260"
"10/08/2006","STATEN ISLAND","76"
"03/13/2016","QUEENS","234"
"10/12/2017","BRONX","285"
"04/12/2014","QUEENS","321"
"04/03/2010","QUEENS","238"
"12/18/2021","MANHATTAN","286"
"05/12/2003","BROOKLYN","1"
"11/16/2007","BRONX","334"
"09/19/2016","BROOKLYN","323"
"03/19/2023","MANHATTAN","262"
"12/10/2012","QUEENS","305"
"03/23/2015","MANHATTAN","294"
"07/22/2008","MANHATTAN","369"
"04/21/2006","BROOKLYN","437"
"06/05/2008","BROOKLYN","456"
